State,Total_Expenses,Product,Sales,Market_Size,Profit,Market,Marketing,Product_Type,Inventory,Type
California,26.0,Earl Grey,142.0,Major Market,79.0,West,15,Tea,601.0,Regular
California,142.0,Columbian,645.0,Major Market,245.0,West,90,Coffee,2067.0,Regular
California,111.0,Decaf Irish Cream,169.0,Major Market,-142.0,West,66,Coffee,2393.0,Decaf
California,54.0,Green Tea,180.0,Major Market,54.0,West,23,Tea,541.0,Regular
California,54.0,Green Tea,170.0,Major Market,48.0,West,22,Tea,559.0,Regular
California,49.0,Green Tea,131.0,Major Market,30.0,West,17,Tea,668.0,Regular
California,147.0,Caffe Mocha,318.0,Major Market,39.0,West,113,Espresso,729.0,Regular
California,115.0,Decaf Espresso,626.0,Major Market,326.0,West,83,Espresso,1316.0,Decaf
California,116.0,Decaf Espresso,637.0,Major Market,334.0,West,84,Espresso,1662.0,Decaf
California,39.0,Chamomile,261.0,Major Market,157.0,West,28,Herbal Tea,822.0,Decaf
California,96.0,Lemon,525.0,Major Market,188.0,West,74,Herbal Tea,1321.0,Decaf
California,85.0,Lemon,486.0,Major Market,240.0,West,64,Herbal Tea,969.0,Decaf
California,89.0,Lemon,527.0,Major Market,265.0,West,75,Herbal Tea,1213.0,Decaf
California,38.0,Earl Grey,230.0,Major Market,98.0,West,26,Tea,562.0,Regular
California,96.0,Caffe Latte,521.0,Major Market,165.0,West,72,Espresso,1559.0,Regular
California,91.0,Caffe Latte,509.0,Major Market,220.0,West,66,Espresso,1464.0,Regular
California,54.0,Green Tea,194.0,Major Market,83.0,West,23,Tea,650.0,Regular
California,54.0,Green Tea,179.0,Major Market,70.0,West,22,Tea,677.0,Regular
California,37.0,Chamomile,234.0,Major Market,102.0,West,26,Herbal Tea,821.0,Decaf
California,91.0,Lemon,522.0,Major Market,258.0,West,69,Herbal Tea,1272.0,Decaf
California,35.0,Darjeeling,227.0,Major Market,135.0,West,24,Tea,756.0,Regular
California,89.0,Caffe Latte,516.0,Major Market,228.0,West,72,Espresso,1715.0,Regular
California,165.0,Columbian,882.0,Major Market,493.0,West,124,Coffee,2476.0,Regular
California,100.0,Decaf Irish Cream,165.0,Major Market,-189.0,West,64,Coffee,3139.0,Decaf
California,56.0,Green Tea,201.0,Major Market,86.0,West,24,Tea,549.0,Regular
California,51.0,Green Tea,160.0,Major Market,58.0,West,19,Tea,656.0,Regular
California,189.0,Caffe Mocha,412.0,Major Market,50.0,West,156,Espresso,927.0,Regular
California,156.0,Caffe Mocha,322.0,Major Market,31.0,West,122,Espresso,940.0,Regular
California,134.0,Caffe Mocha,280.0,Major Market,26.0,West,95,Espresso,725.0,Regular
California,156.0,Caffe Mocha,343.0,Major Market,46.0,West,122,Espresso,940.0,Regular
California,116.0,Decaf Espresso,628.0,Major Market,326.0,West,83,Espresso,1686.0,Decaf
California,89.0,Lemon,506.0,Major Market,249.0,West,64,Herbal Tea,965.0,Decaf
California,39.0,Mint,190.0,Major Market,68.0,West,27,Herbal Tea,613.0,Decaf
California,37.0,Mint,188.0,Major Market,92.0,West,27,Herbal Tea,584.0,Decaf
California,25.0,Mint,96.0,Major Market,39.0,West,12,Herbal Tea,541.0,Decaf
California,38.0,Darjeeling,254.0,Major Market,153.0,West,29,Tea,821.0,Regular
California,34.0,Earl Grey,198.0,Major Market,83.0,West,22,Tea,460.0,Regular
California,35.0,Earl Grey,210.0,Major Market,89.0,West,24,Tea,499.0,Regular
California,145.0,Columbian,678.0,Major Market,262.0,West,94,Coffee,2101.0,Regular
California,88.0,Lemon,496.0,Major Market,243.0,West,66,Herbal Tea,942.0,Decaf
California,87.0,Lemon,507.0,Major Market,253.0,West,72,Herbal Tea,1060.0,Decaf
California,83.0,Caffe Latte,423.0,Major Market,129.0,West,59,Espresso,1778.0,Regular
California,72.0,Amaretto,87.0,Major Market,-139.0,West,49,Coffee,2105.0,Regular
California,63.0,Amaretto,117.0,Major Market,-113.0,West,39,Coffee,964.0,Regular
California,161.0,Columbian,842.0,Major Market,465.0,West,110,Coffee,2580.0,Regular
California,54.0,Green Tea,182.0,Major Market,56.0,West,23,Tea,650.0,Regular
California,180.0,Caffe Mocha,387.0,Major Market,45.0,West,147,Espresso,943.0,Regular
California,146.0,Caffe Mocha,298.0,Major Market,27.0,West,113,Espresso,898.0,Regular
California,122.0,Decaf Espresso,634.0,Major Market,240.0,West,89,Espresso,1616.0,Decaf
California,119.0,Decaf Espresso,672.0,Major Market,357.0,West,96,Espresso,1742.0,Decaf
California,38.0,Chamomile,234.0,Major Market,101.0,West,26,Herbal Tea,799.0,Decaf
California,40.0,Chamomile,261.0,Major Market,156.0,West,28,Herbal Tea,981.0,Decaf
California,95.0,Lemon,520.0,Major Market,186.0,West,74,Herbal Tea,1246.0,Decaf
California,40.0,Mint,193.0,Major Market,69.0,West,27,Herbal Tea,603.0,Decaf
California,38.0,Mint,190.0,Major Market,92.0,West,25,Herbal Tea,593.0,Decaf
California,40.0,Darjeeling,256.0,Major Market,112.0,West,29,Tea,952.0,Regular
California,45.0,Darjeeling,302.0,Major Market,134.0,West,34,Tea,915.0,Regular
California,38.0,Darjeeling,245.0,Major Market,146.0,West,24,Tea,777.0,Regular
California,33.0,Earl Grey,208.0,Major Market,123.0,West,24,Tea,499.0,Regular
California,90.0,Caffe Latte,478.0,Major Market,149.0,West,66,Espresso,1755.0,Regular
California,59.0,Amaretto,116.0,Major Market,-56.0,West,36,Coffee,2758.0,Regular
California,54.0,Green Tea,181.0,Major Market,71.0,West,22,Tea,559.0,Regular
California,38.0,Chamomile,254.0,Major Market,153.0,West,29,Herbal Tea,871.0,Decaf
California,43.0,Chamomile,309.0,Major Market,192.0,West,35,Herbal Tea,1007.0,Decaf
California,36.0,Darjeeling,219.0,Major Market,94.0,West,24,Tea,777.0,Regular
California,37.0,Darjeeling,254.0,Major Market,155.0,West,29,Tea,952.0,Regular
California,26.0,Earl Grey,133.0,Major Market,53.0,West,15,Tea,601.0,Regular
California,87.0,Caffe Latte,487.0,Major Market,211.0,West,63,Espresso,1436.0,Regular
California,55.0,Amaretto,141.0,Major Market,-40.0,West,33,Coffee,685.0,Regular
California,161.0,Columbian,790.0,Major Market,313.0,West,110,Coffee,2580.0,Regular
California,143.0,Columbian,650.0,Major Market,247.0,West,91,Coffee,2548.0,Regular
California,107.0,Decaf Irish Cream,166.0,Major Market,-137.0,West,64,Coffee,3139.0,Decaf
California,100.0,Decaf Irish Cream,156.0,Major Market,-188.0,West,57,Coffee,3909.0,Decaf
California,119.0,Decaf Espresso,612.0,Major Market,230.0,West,86,Espresso,1433.0,Decaf
California,40.0,Chamomile,245.0,Major Market,105.0,West,28,Herbal Tea,981.0,Decaf
California,35.0,Chamomile,210.0,Major Market,89.0,West,24,Herbal Tea,1003.0,Decaf
California,38.0,Darjeeling,243.0,Major Market,106.0,West,27,Tea,766.0,Regular
California,32.0,Earl Grey,199.0,Major Market,117.0,West,21,Tea,580.0,Regular
California,63.0,Amaretto,95.0,Major Market,-156.0,West,45,Coffee,1514.0,Regular
California,159.0,Columbian,756.0,Major Market,295.0,West,105,Coffee,2250.0,Regular
California,178.0,Columbian,910.0,Major Market,368.0,West,127,Coffee,2617.0,Regular
California,166.0,Columbian,904.0,Major Market,511.0,West,127,Coffee,2654.0,Regular
California,91.0,Decaf Irish Cream,118.0,Major Market,-117.0,West,47,Coffee,862.0,Decaf
California,94.0,Decaf Irish Cream,127.0,Major Market,-121.0,West,50,Coffee,1288.0,Decaf
California,93.0,Decaf Irish Cream,139.0,Major Market,-174.0,West,50,Coffee,3654.0,Decaf
California,55.0,Green Tea,189.0,Major Market,59.0,West,24,Tea,659.0,Regular
California,57.0,Green Tea,201.0,Major Market,84.0,West,23,Tea,558.0,Regular
California,46.0,Green Tea,130.0,Major Market,41.0,West,17,Tea,662.0,Regular
California,153.0,Caffe Mocha,342.0,Major Market,50.0,West,131,Espresso,874.0,Regular
California,128.0,Decaf Espresso,678.0,Major Market,259.0,West,96,Espresso,1742.0,Decaf
California,39.0,Chamomile,262.0,Major Market,159.0,West,26,Herbal Tea,821.0,Decaf
California,102.0,Lemon,567.0,Major Market,205.0,West,80,Herbal Tea,1319.0,Decaf
California,42.0,Mint,213.0,Major Market,104.0,West,27,Herbal Tea,623.0,Decaf
California,26.0,Earl Grey,134.0,Major Market,54.0,West,15,Tea,456.0,Regular
California,26.0,Earl Grey,123.0,Major Market,47.0,West,14,Tea,589.0,Regular
California,34.0,Earl Grey,212.0,Major Market,125.0,West,22,Tea,588.0,Regular
California,89.0,Caffe Latte,516.0,Major Market,228.0,West,72,Espresso,1559.0,Regular
California,66.0,Amaretto,86.0,Major Market,-190.0,West,49,Coffee,1832.0,Regular
California,113.0,Decaf Espresso,628.0,Major Market,331.0,West,89,Espresso,1616.0,Decaf
California,45.0,Chamomile,301.0,Major Market,133.0,West,34,Herbal Tea,947.0,Decaf
California,42.0,Chamomile,265.0,Major Market,115.0,West,30,Herbal Tea,971.0,Decaf
California,96.0,Lemon,532.0,Major Market,192.0,West,75,Herbal Tea,1213.0,Decaf
California,88.0,Caffe Latte,456.0,Major Market,140.0,West,63,Espresso,1459.0,Regular
California,68.0,Amaretto,96.0,Major Market,-113.0,West,45,Coffee,1514.0,Regular
California,146.0,Columbian,675.0,Major Market,259.0,West,94,Coffee,2041.0,Regular
California,178.0,Columbian,912.0,Major Market,370.0,West,127,Coffee,2654.0,Regular
California,149.0,Columbian,699.0,Major Market,271.0,West,97,Coffee,2642.0,Regular
California,148.0,Columbian,749.0,Major Market,407.0,West,105,Coffee,2250.0,Regular
California,121.0,Decaf Irish Cream,202.0,Major Market,-157.0,West,78,Coffee,2797.0,Decaf
California,133.0,Caffe Mocha,286.0,Major Market,35.0,West,109,Espresso,788.0,Regular
California,130.0,Decaf Espresso,687.0,Major Market,262.0,West,97,Espresso,1714.0,Decaf
California,107.0,Decaf Espresso,532.0,Major Market,197.0,West,75,Espresso,1691.0,Decaf
California,109.0,Decaf Espresso,581.0,Major Market,300.0,West,77,Espresso,1282.0,Decaf
California,85.0,Lemon,456.0,Major Market,162.0,West,64,Herbal Tea,969.0,Decaf
California,40.0,Mint,190.0,Major Market,67.0,West,27,Herbal Tea,623.0,Decaf
California,25.0,Mint,92.0,Major Market,27.0,West,13,Herbal Tea,536.0,Decaf
California,27.0,Earl Grey,150.0,Major Market,84.0,West,15,Tea,456.0,Regular
California,32.0,Earl Grey,201.0,Major Market,119.0,West,21,Tea,449.0,Regular
California,34.0,Earl Grey,211.0,Major Market,123.0,West,22,Tea,460.0,Regular
California,35.0,Earl Grey,228.0,Major Market,135.0,West,26,Tea,608.0,Regular
California,96.0,Caffe Latte,521.0,Major Market,165.0,West,72,Espresso,1715.0,Regular
California,61.0,Amaretto,109.0,Major Market,-74.0,West,39,Coffee,2378.0,Regular
California,61.0,Amaretto,116.0,Major Market,-110.0,West,39,Coffee,2378.0,Regular
California,110.0,Decaf Irish Cream,163.0,Major Market,-142.0,West,64,Coffee,1952.0,Decaf
California,117.0,Decaf Irish Cream,192.0,Major Market,-149.0,West,73,Coffee,4216.0,Decaf
California,53.0,Green Tea,160.0,Major Market,43.0,West,21,Tea,593.0,Regular
California,49.0,Green Tea,135.0,Major Market,32.0,West,17,Tea,641.0,Regular
California,165.0,Caffe Mocha,345.0,Major Market,36.0,West,131,Espresso,874.0,Regular
California,116.0,Decaf Espresso,598.0,Major Market,225.0,West,84,Espresso,1662.0,Decaf
California,88.0,Lemon,465.0,Major Market,164.0,West,66,Herbal Tea,942.0,Decaf
California,95.0,Lemon,562.0,Major Market,283.0,West,80,Herbal Tea,1319.0,Decaf
California,34.0,Earl Grey,199.0,Major Market,84.0,West,22,Tea,588.0,Regular
California,90.0,Caffe Latte,509.0,Major Market,221.0,West,66,Espresso,1755.0,Regular
California,54.0,Green Tea,180.0,Major Market,54.0,West,23,Tea,558.0,Regular
California,51.0,Green Tea,150.0,Major Market,39.0,West,19,Tea,656.0,Regular
California,41.0,Chamomile,256.0,Major Market,111.0,West,29,Herbal Tea,871.0,Decaf
California,33.0,Chamomile,211.0,Major Market,125.0,West,22,Herbal Tea,984.0,Decaf
California,40.0,Mint,206.0,Major Market,102.0,West,27,Herbal Tea,603.0,Decaf
California,45.0,Darjeeling,301.0,Major Market,133.0,West,34,Tea,941.0,Regular
California,37.0,Earl Grey,243.0,Major Market,145.0,West,28,Tea,598.0,Regular
California,26.0,Earl Grey,131.0,Major Market,70.0,West,14,Tea,589.0,Regular
California,90.0,Caffe Latte,478.0,Major Market,149.0,West,66,Espresso,1417.0,Regular
California,59.0,Amaretto,105.0,Major Market,-116.0,West,40,Coffee,1215.0,Regular
California,177.0,Columbian,890.0,Major Market,357.0,West,124,Coffee,2476.0,Regular
California,147.0,Caffe Mocha,298.0,Major Market,26.0,West,113,Espresso,729.0,Regular
California,146.0,Caffe Mocha,318.0,Major Market,40.0,West,113,Espresso,898.0,Regular
California,46.0,Chamomile,312.0,Major Market,139.0,West,35,Herbal Tea,1007.0,Decaf
California,94.0,Lemon,512.0,Major Market,183.0,West,72,Herbal Tea,1060.0,Decaf
California,38.0,Mint,178.0,Major Market,62.0,West,25,Herbal Tea,593.0,Decaf
California,40.0,Mint,190.0,Major Market,67.0,West,27,Herbal Tea,584.0,Decaf
California,27.0,Mint,99.0,Major Market,29.0,West,14,Herbal Tea,531.0,Decaf
California,36.0,Darjeeling,223.0,Major Market,96.0,West,25,Tea,777.0,Regular
California,38.0,Darjeeling,259.0,Major Market,157.0,West,27,Tea,766.0,Regular
California,42.0,Darjeeling,298.0,Major Market,184.0,West,34,Tea,941.0,Regular
California,44.0,Darjeeling,309.0,Major Market,190.0,West,33,Tea,930.0,Regular
California,63.0,Amaretto,110.0,Major Market,-76.0,West,39,Coffee,964.0,Regular
California,61.0,Amaretto,109.0,Major Market,-74.0,West,39,Coffee,2555.0,Regular
California,143.0,Columbian,693.0,Major Market,367.0,West,91,Coffee,2548.0,Regular
California,91.0,Decaf Irish Cream,122.0,Major Market,-117.0,West,48,Coffee,1071.0,Decaf
California,109.0,Decaf Irish Cream,169.0,Major Market,-209.0,West,63,Coffee,1564.0,Decaf
California,96.0,Decaf Irish Cream,147.0,Major Market,-178.0,West,53,Coffee,3421.0,Decaf
California,49.0,Green Tea,131.0,Major Market,30.0,West,17,Tea,662.0,Regular
California,54.0,Green Tea,192.0,Major Market,80.0,West,23,Tea,541.0,Regular
California,128.0,Caffe Mocha,250.0,Major Market,17.0,West,95,Espresso,725.0,Regular
California,142.0,Caffe Mocha,289.0,Major Market,26.0,West,109,Espresso,912.0,Regular
California,110.0,Lemon,672.0,Major Market,344.0,West,96,Herbal Tea,1296.0,Decaf
California,31.0,Mint,141.0,Major Market,64.0,West,19,Herbal Tea,548.0,Decaf
California,99.0,Caffe Latte,532.0,Major Market,167.0,West,74,Espresso,1819.0,Regular
California,115.0,Decaf Espresso,587.0,Major Market,220.0,West,83,Espresso,1316.0,Decaf
California,48.0,Chamomile,323.0,Major Market,143.0,West,36,Herbal Tea,994.0,Decaf
California,40.0,Mint,199.0,Major Market,72.0,West,28,Herbal Tea,564.0,Decaf
California,45.0,Darjeeling,322.0,Major Market,199.0,West,34,Tea,915.0,Regular
California,38.0,Earl Grey,230.0,Major Market,98.0,West,26,Tea,608.0,Regular
California,87.0,Caffe Latte,457.0,Major Market,142.0,West,63,Espresso,1436.0,Regular
California,67.0,Amaretto,86.0,Major Market,-192.0,West,49,Coffee,2105.0,Regular
California,146.0,Columbian,719.0,Major Market,384.0,West,94,Coffee,2041.0,Regular
California,56.0,Green Tea,189.0,Major Market,58.0,West,24,Tea,549.0,Regular
California,32.0,Earl Grey,189.0,Major Market,80.0,West,21,Tea,449.0,Regular
California,55.0,Amaretto,132.0,Major Market,-27.0,West,33,Coffee,685.0,Regular
California,61.0,Amaretto,116.0,Major Market,-110.0,West,39,Coffee,2555.0,Regular
California,96.0,Decaf Irish Cream,138.0,Major Market,-120.0,West,53,Coffee,3421.0,Decaf
California,100.0,Decaf Irish Cream,146.0,Major Market,-127.0,West,57,Coffee,3909.0,Decaf
California,113.0,Decaf Irish Cream,200.0,Major Market,-217.0,West,78,Coffee,2797.0,Decaf
California,121.0,Decaf Espresso,681.0,Major Market,362.0,West,97,Espresso,1714.0,Decaf
California,37.0,Mint,197.0,Major Market,99.0,West,28,Herbal Tea,564.0,Decaf
California,52.0,Amaretto,145.0,Major Market,-2.0,West,30,Coffee,608.0,Regular
California,57.0,Amaretto,133.0,Major Market,-61.0,West,34,Coffee,796.0,Regular
California,59.0,Amaretto,124.0,Major Market,-83.0,West,36,Coffee,2758.0,Regular
California,109.0,Decaf Irish Cream,159.0,Major Market,-141.0,West,63,Coffee,1564.0,Decaf
California,143.0,Caffe Mocha,290.0,Major Market,26.0,West,110,Espresso,712.0,Regular
California,143.0,Caffe Mocha,309.0,Major Market,39.0,West,110,Espresso,712.0,Regular
California,142.0,Caffe Mocha,308.0,Major Market,39.0,West,109,Espresso,912.0,Regular
California,113.0,Decaf Espresso,567.0,Major Market,211.0,West,80,Espresso,1260.0,Decaf
California,45.0,Chamomile,320.0,Major Market,197.0,West,36,Herbal Tea,994.0,Decaf
California,35.0,Chamomile,224.0,Major Market,132.0,West,24,Herbal Tea,1003.0,Decaf
California,118.0,Lemon,678.0,Major Market,249.0,West,96,Herbal Tea,1296.0,Decaf
California,45.0,Darjeeling,302.0,Major Market,134.0,West,34,Tea,959.0,Regular
California,33.0,Earl Grey,211.0,Major Market,125.0,West,22,Tea,441.0,Regular
California,99.0,Caffe Latte,532.0,Major Market,167.0,West,74,Espresso,1797.0,Regular
California,94.0,Caffe Latte,501.0,Major Market,157.0,West,70,Espresso,1820.0,Regular
California,57.0,Amaretto,125.0,Major Market,-41.0,West,34,Coffee,796.0,Regular
California,91.0,Decaf Irish Cream,130.0,Major Market,-174.0,West,48,Coffee,1071.0,Decaf
California,102.0,Decaf Irish Cream,162.0,Major Market,-196.0,West,64,Coffee,1952.0,Decaf
California,103.0,Decaf Irish Cream,167.0,Major Market,-196.0,West,66,Coffee,2393.0,Decaf
California,42.0,Chamomile,282.0,Major Market,171.0,West,30,Herbal Tea,971.0,Decaf
California,35.0,Earl Grey,228.0,Major Market,135.0,West,26,Tea,562.0,Regular
California,91.0,Caffe Latte,478.0,Major Market,148.0,West,66,Espresso,1464.0,Regular
California,152.0,Columbian,759.0,Major Market,408.0,West,94,Coffee,2101.0,Regular
California,46.0,Green Tea,134.0,Major Market,44.0,West,17,Tea,641.0,Regular
California,46.0,Green Tea,130.0,Major Market,41.0,West,17,Tea,668.0,Regular
California,37.0,Chamomile,232.0,Major Market,100.0,West,26,Herbal Tea,809.0,Decaf
California,42.0,Chamomile,298.0,Major Market,184.0,West,34,Herbal Tea,947.0,Decaf
California,93.0,Caffe Latte,498.0,Major Market,156.0,West,69,Espresso,1775.0,Regular
California,94.0,Caffe Latte,534.0,Major Market,233.0,West,70,Espresso,1820.0,Regular
California,63.0,Amaretto,102.0,Major Market,-88.0,West,40,Coffee,2947.0,Regular
California,139.0,Columbian,623.0,Major Market,235.0,West,87,Coffee,2580.0,Regular
California,93.0,Decaf Irish Cream,130.0,Major Market,-117.0,West,50,Coffee,3654.0,Decaf
California,117.0,Decaf Irish Cream,205.0,Major Market,-221.0,West,73,Coffee,4216.0,Decaf
California,143.0,Caffe Mocha,290.0,Major Market,26.0,West,110,Espresso,910.0,Regular
California,176.0,Caffe Mocha,408.0,Major Market,69.0,West,156,Espresso,927.0,Regular
California,143.0,Caffe Mocha,309.0,Major Market,39.0,West,110,Espresso,910.0,Regular
California,109.0,Decaf Espresso,545.0,Major Market,202.0,West,77,Espresso,1282.0,Decaf
California,114.0,Decaf Espresso,611.0,Major Market,316.0,West,77,Espresso,1310.0,Decaf
California,95.0,Lemon,554.0,Major Market,276.0,West,74,Herbal Tea,1246.0,Decaf
California,31.0,Mint,132.0,Major Market,43.0,West,19,Herbal Tea,548.0,Decaf
California,36.0,Darjeeling,238.0,Major Market,142.0,West,25,Tea,777.0,Regular
California,40.0,Darjeeling,274.0,Major Market,166.0,West,31,Tea,897.0,Regular
California,33.0,Earl Grey,198.0,Major Market,84.0,West,22,Tea,441.0,Regular
California,83.0,Caffe Latte,451.0,Major Market,191.0,West,59,Espresso,1778.0,Regular
Colorado,39.0,Amaretto,243.0,Major Market,105.0,Central,27,Coffee,766.0,Regular
Colorado,36.0,Amaretto,227.0,Major Market,134.0,Central,24,Coffee,756.0,Regular
Colorado,45.0,Amaretto,322.0,Major Market,199.0,Central,34,Coffee,959.0,Regular
Colorado,39.0,Columbian,190.0,Major Market,68.0,Central,27,Coffee,584.0,Regular
Colorado,39.0,Columbian,202.0,Major Market,101.0,Central,27,Coffee,613.0,Regular
Colorado,38.0,Columbian,197.0,Major Market,98.0,Central,28,Coffee,564.0,Regular
Colorado,32.0,Columbian,141.0,Major Market,62.0,Central,19,Coffee,548.0,Regular
Colorado,24.0,Columbian,96.0,Major Market,40.0,Central,12,Coffee,541.0,Regular
Colorado,40.0,Decaf Irish Cream,245.0,Major Market,105.0,Central,28,Coffee,822.0,Decaf
Colorado,38.0,Decaf Irish Cream,249.0,Major Market,150.0,Central,26,Coffee,799.0,Decaf
Colorado,40.0,Decaf Irish Cream,261.0,Major Market,156.0,Central,28,Coffee,822.0,Decaf
Colorado,37.0,Decaf Irish Cream,254.0,Major Market,155.0,Central,29,Coffee,871.0,Decaf
Colorado,43.0,Decaf Irish Cream,309.0,Major Market,192.0,Central,35,Coffee,1007.0,Decaf
Colorado,26.0,Green Tea,100.0,Major Market,30.0,Central,14,Tea,623.0,Regular
Colorado,28.0,Green Tea,106.0,Major Market,32.0,Central,15,Tea,608.0,Regular
Colorado,26.0,Green Tea,94.0,Major Market,27.0,Central,13,Tea,592.0,Regular
Colorado,28.0,Green Tea,113.0,Major Market,47.0,Central,15,Tea,608.0,Regular
Colorado,26.0,Caffe Mocha,134.0,Major Market,54.0,Central,15,Espresso,456.0,Regular
Colorado,36.0,Caffe Mocha,210.0,Major Market,88.0,Central,24,Espresso,499.0,Regular
Colorado,34.0,Caffe Mocha,199.0,Major Market,84.0,Central,22,Espresso,588.0,Regular
Colorado,32.0,Caffe Mocha,187.0,Major Market,79.0,Central,21,Espresso,580.0,Regular
Colorado,25.0,Caffe Mocha,123.0,Major Market,48.0,Central,14,Espresso,589.0,Regular
Colorado,32.0,Caffe Mocha,201.0,Major Market,119.0,Central,21,Espresso,449.0,Regular
Colorado,34.0,Caffe Mocha,228.0,Major Market,137.0,Central,26,Espresso,562.0,Regular
Colorado,25.0,Caffe Mocha,131.0,Major Market,71.0,Central,14,Espresso,589.0,Regular
Colorado,55.0,Decaf Espresso,189.0,Major Market,59.0,Central,24,Espresso,549.0,Decaf
Colorado,52.0,Decaf Espresso,160.0,Major Market,44.0,Central,21,Espresso,593.0,Decaf
Colorado,48.0,Decaf Espresso,135.0,Major Market,33.0,Central,17,Espresso,641.0,Decaf
Colorado,48.0,Decaf Espresso,131.0,Major Market,31.0,Central,17,Espresso,668.0,Decaf
Colorado,51.0,Decaf Espresso,150.0,Major Market,39.0,Central,19,Espresso,656.0,Decaf
Colorado,54.0,Decaf Espresso,182.0,Major Market,56.0,Central,23,Espresso,650.0,Decaf
Colorado,56.0,Decaf Espresso,189.0,Major Market,58.0,Central,24,Espresso,659.0,Decaf
